영역,핵심아이디어
수와 연산,"사물의 양은 자연수, 분수, 소수 등으로 표현되며, 수는 자연수에서 정수, 유리수, 실수로 확장된다."
수와 연산,"사칙계산은 자연수에 대해 정의되며 정수, 유리수, 실수의 사칙계산으로 확장되고 이때 연산의 성질이 일관되게 성립한다."
수와 연산,"수와 사칙계산은 수학 학습의 기본이 되며, 실생활 문제를 포함한 다양한 문제를 해결하는 데 유용하게 활용된다."
변화와 관계,"변화하는 현상에 반복적인 요소로 들어있는 규칙은 수나 식으로 표현될 수 있으며, 규칙을 탐구하는 것은 수학적으로 추측하고 일반화하는 데 기반이 된다."
변화와 관계,"동치 관계, 대응 관계, 비례 관계 등은 여러 현상에 들어있는 대상들 사이의 다양한 관계를 기술하고 복잡한 문제를 해결하는 데 유용하게 활용된다."
변화와 관계,"수와 그 계산은 문자와 식을 사용하여 일반화되며, 특정한 관계를 만족시키는 미지의 값은 방정식과 부등식을 해결하는 적절한 절차를 거쳐 구해진다."
변화와 관계,한 양이 변함에 따라 다른 양이 하나씩 정해지는 두 양 사이의 대응 관계를 나타내는 함수와 그 그래프는 변화하는 현상 속의 다양한 관계를 수학적으로 표현한다.
도형과 측정,"평면도형과 입체도형은 여러 가지 모양을 범주화한 것이며, 각각의 평면도형과 입체도형은 고유한 성질을 갖는다."
도형과 측정,도형의 성질과 관계를 탐구하고 정당화하는 것은 논리적이고 비판적으로 사고하는 데 기반이 된다.
도형과 측정,측정은 여러 가지 속성의 양을 비교하고 속성에 따른 단위를 이용하여 양을 수치화함으로써 여러 가지 현상을 해석하거나 실생활 문제를 해결하는 데 활용된다.
자료와 가능성,"자료를 수집, 정리, 해석하는 통계는 자료의 특징을 파악하고 두 집단을 비교하며 자료의 관계를 탐구하는 데 활용된다."
자료와 가능성,"사건이 일어날 가능성을 여러 가지 방법으로 표현하는 것은 불확실성을 이해하는 데 도움이 되며, 가능성을 확률로 수치화하면 불확실성을 수학적으로 다룰 수 있게 된다."
자료와 가능성,자료를 이용하여 통계적 문제해결 과정을 실천하고 생활 속의 가능성을 탐구하는 것은 미래를 예측하고 합리적인 의사 결정을 하는 데 기반이 된다.
공통수학1,"식에 대한 사칙연산과 인수분해는 복잡한 다항식으로 확장되어 적용되며, 방정식과 부등식은 적절한 절차를 통해 해결된다."
공통수학1,순열과 조합은 다양한 상황에서 사건이 일어날 수 있는 모든 경우의 수를 체계적으로 세는 데 활용된다.
공통수학1,여러 값이 포함된 자료는 행렬 표현과 연산을 통해 효율적으로 처리된다.
공통수학2,평면도형을 식으로 표현하는 것은 도형 사이의 위치 관계와 도형의 이동에 대한 탐구의 유용한 도구가 된다.
공통수학2,"집합은 대상을 논리적으로 표현하고 이해하는 도구이며, 명제는 추론을 통해 증명된다."
공통수학2,두 집합 사이의 대응으로 일반화된 함수는 대상 간의 관계를 논리적으로 해석하는 데 활용된다.
기본수학1,"식에 대한 사칙연산과 인수분해는 복잡한 다항식으로 확장되어 적용되며, 방정식과 부등식은 적절한 절차를 통해 해결된다."
기본수학1,순열과 조합은 다양한 상황에서 사건이 일어날 수 있는 모든 경우의 수를 체계적으로 세는 데 활용된다.
기본수학1,여러 값이 포함된 자료는 행렬 표현과 연산을 통해 효율적으로 처리된다.
기본수학2,평면도형을 식으로 표현하는 것은 도형 사이의 위치 관계와 도형의 이동에 대한 탐구의 유용한 도구가 된다.
기본수학2,"집합은 대상을 논리적으로 표현하고 이해하는 도구이며, 명제는 추론을 통해 증명된다."
기본수학2,두 집합 사이의 대응으로 일반화된 함수는 대상 간의 관계를 논리적으로 해석하는 데 활용된다.
대수,"지수함수, 로그함수는 급격히 증감하는 대상이나 현상을, 삼각함수는 주기적으로 변하는 대상이나 현상을 표현하고 이해하는 데 활용된다."
대수,"수열은 나열된 대상의 규칙을 수학적으로 표현하고 이해하는 데 활용되며, 수학적 귀납법은 자연수에 대해 성립하는 명제를 증명할 때 사용된다."
미적분1,"함수의 극한은 함수의 국소적 성질을 이해하는 도구이며, 함수의 연속은 함수의 극한을 통해 설명된다."
미적분1,미분은 함수의 순간적인 변화를 나타내는 도구이며 함수의 그래프와 이동하는 물체의 움직임에 대한 탐구에 활용된다.
미적분1,"부정적분은 미분과 역관계에 있고 정적분을 계산하는 데 이용되며, 정적분은 도형의 넓이, 물체의 이동 거리 등을 구하는 데 활용된다."
확률과 통계,사건이 일어날 수 있는 모든 경우를 분류하고 경우의 수를 체계적으로 세는 여러 가지 방법은 다양한 문제 상황에 활용된다.
확률과 통계,확률의 성질과 정리를 활용하고 조건이 주어졌을 때 사건이 일어날 확률을 이용하는 것은 합리적인 의사 결정의 중요한 도구이다.
확률과 통계,예측하고자 하는 집단의 속성을 표본으로부터 추정하는 방법은 사회의 불확실성을 이해하고 미래를 예측하는 중요한 도구이다.
미적분2,수열의 극한은 무한을 수학적으로 다루기 위한 도구이며 수열과 급수의 수렴과 발산을 판정하는 데 활용된다.
미적분2,다양한 미분법을 활용하면 여러 가지 함수의 도함수를 효율적으로 구하고 변화 현상에 대해 심층적으로 탐구할 수 있다.
미적분2,"다양한 적분법을 활용하면 도형의 넓이 또는 부피, 움직이는 물체의 속도 또는 거리를 효율적으로 계산할 수 있다."
기하,원뿔을 절단하여 만든 곡선을 방정식으로 표현하는 것은 그 기하적 성질을 탐구하는 데 유용한 방법이다.
기하,공간좌표와 식을 활용하는 것은 공간도형의 기하적 성질을 탐구하는 데 유용한 방법이다.
기하,"벡터는 크기와 방향을 갖는 양을 나타내는 도구로, 위치벡터는 좌표평면과 좌표공간에서 도형의 성질을 탐구하는 데 활용된다."
경제 수학,"자료의 해석, 식의 계산, 수열과 급수는 실생활 금융 문제를 해결하는 데 활용된다."
경제 수학,"함수는 경제 현상에서 변화를 나타내는 도구로서, 실생활 속 경제 문제를 해결하는 데 활용된다."
경제 수학,경제 현상을 행렬로 표현하고 연산하는 것은 실생활 속 경제 문제를 해결하는 데 유용한 방법이다.
경제 수학,미분은 여러 가지 경제 현상에서 최적의 의사 결정을 하는 데 활용된다.
인공지능 수학,수학은 인공지능의 기반이 되며 인공지능 기술 전반에 활용된다.
인공지능 수학,"집합, 벡터, 행렬 등은 인공지능의 데이터 처리에 이용된다."
인공지능 수학,"확률, 함수, 미분 등에 기반한 인공지능 기술은 데이터의 경향성을 파악하고 최적화하며 합리적인 의사 결정을 하는 데 활용된다."
인공지능 수학,인공지능으로 실생활 문제를 해결하는 과정에는 수학적 원리가 활용된다.
직무 수학,수의 계산과 단위의 변환 등은 직무 상황에서 효율적인 업무 수행의 기반이 된다.
직무 수학,"비와 비율, 표와 그래프, 방정식과 부등식은 직무 상황에서 발생하는 여러 가지 문제를 해결하는 데 활용된다."
직무 수학,도형의 이해와 측정은 직무 상황에서 다루는 공간 관련 문제를 해결하는 데 도움을 준다.
직무 수학,"직무 상황에서 다루는 자료를 수집, 정리, 해석하는 활동은 합리적인 의사 결정을 가능하게 한다."
수학과 문화,수학은 다양한 예술 분야에 융합되어 서로의 창조와 발전의 계기가 되었다.
수학과 문화,생활과 수학은 다양한 상황에서 밀접하게 상호 작용하며 서로의 발전을 촉진해 왔다.
수학과 문화,수학은 사회 속 문제를 해결하는 과정에서 합리적 문제해결과 민주적 의사 결정에 도움을 준다.
수학과 문화,수학은 지속가능한 미래 사회를 위한 생태환경 문제를 분석하고 사고하는 데 필요하다.
실용 통계,통계는 현대 사회에서 나타나는 변이성을 설명하고 예측하기 위한 수단이다.
실용 통계,자료를 표와 그래프로 표현하고 수치로 요약하는 방법은 자료의 특성을 이해하는 유용한 도구이다.
실용 통계,통계적 추론은 예측하고자 하는 집단의 속성을 파악하기 위한 과학적인 도구이다.
실용 통계,"통계는 자료를 수집, 정리, 분석하는 활동을 통해 합리적인 의사 결정을 가능하게 한다."
수학과제 탐구,올바른 연구 윤리에 기반한 수학과제 탐구는 수학적 지식의 본질을 경험하게 한다.
수학과제 탐구,공동체의 사고와 가치를 반영하여 수학 문제를 해결하는 다양한 탐구 방법이 있다.
수학과제 탐구,"수학과제 탐구를 준비, 실행, 정리, 발표, 평가, 성찰하는 활동은 자기주도적으로 문제를 해결하는 경험이 된다."